Passenger 1 ID,Passenger 2 ID,Number of Teleports together
7763,93205,15
451,45888,14
25224,63892,14
14486,15485,13
451,57577,12
591,25224,12
1139,8073,12
2978,40404,12
4915,44401,12
5239,57577,12
5285,5814,12
7763,57433,12
15485,34587,12
18422,47683,12
18949,38808,12
24828,63878,12
25224,96390,12
31770,34587,12
33016,96271,12
34507,84288,12
38518,47415,12
45423,62806,12
57433,93205,12
58314,90209,12
62806,70593,12
67558,73078,12
387,65049,11
451,5239,11
1139,57577,11
1139,76172,11
4528,31275,11
4821,58314,11
4915,15902,11
5084,74082,11
6938,26724,11
7684,13734,11
8067,17200,11
8073,57577,11
8073,76172,11
10998,71635,11
11201,56088,11
12229,29436,11
12884,35780,11
13391,72130,11
13734,60718,11
15485,72698,11
15485,79714,11
15902,51032,11
16039,53153,11
16671,42332,11
17726,47415,11
17726,61352,11
19179,94289,11
19255,63878,11
21425,58185,11
21813,84288,11
22722,82093,11
22824,34466,11
23503,64201,11
24522,30631,11
24828,62806,11
26031,68445,11
26797,92348,11
29873,34507,11
30259,68859,11
32128,62068,11
36517,43910,11
38518,88730,11
40565,79462,11
41315,52095,11
42218,87812,11
42797,70163,11
43721,95261,11
45177,52697,11
45888,57577,11
47415,61352,11
60718,92736,11
62806,82853,11
64461,97383,11
69978,96941,11
70623,92072,11
72698,79714,11
73374,85760,11
80061,96740,11
89310,96941,11
451,1139,10
451,8073,10
451,76172,10
591,63892,10
591,82394,10
591,96390,10
644,25224,10
644,51114,10
644,67594,10
644,76389,10
644,96390,10
1139,3656,10
1139,12263,10
1139,77329,10
3656,8073,10
3656,12263,10
3656,76172,10
3656,77329,10
3866,6187,10
4025,33348,10
4528,9222,10
4528,56028,10
4821,96390,10
6476,75816,10
6564,22722,10
6564,73764,10
7006,66575,10
7763,46344,10
7763,65049,10
7763,79633,10
8073,12263,10
8073,77329,10
8553,77489,10
9222,56028,10
9490,25920,10
9630,37701,10
9661,72619,10
10649,30485,10
11002,57660,10
11738,59709,10
12084,67558,10
12084,73078,10
12229,56397,10
12263,76172,10
12263,77329,10
12668,65377,10
12884,82853,10
14486,34587,10
15485,31770,10
15485,62806,10
15902,31408,10
15902,44401,10
16263,88730,10
16820,87616,10
16851,38518,10
16851,88730,10
17028,57660,10
17028,66776,10
18949,19255,10
18949,45423,10
18949,70593,10
19255,24828,10
19255,62806,10
21188,38685,10
22258,52498,10
22678,50844,10
22722,73764,10
24101,47832,10
24101,54801,10
25224,74700,10
25224,76389,10
26607,60908,10
29436,56397,10
29436,64201,10
31026,69978,10
31195,66424,10
31408,44401,10
31408,51032,10
31770,94114,10
32113,43721,10
32944,74970,10
32957,77395,10
33016,63878,10
33016,96326,10
34587,94114,10
34930,62806,10
35223,60335,10
35780,82853,10
35863,89310,10
36517,76389,10
37258,85039,10
37701,48106,10
38204,78791,10
39527,52686,10
42238,88873,10
43806,62172,10
43910,92264,10
44190,47491,10
45237,74349,10
45413,87176,10
45423,70593,10
45846,47997,10
46344,57433,10
46344,93205,10
46512,73941,10
46957,54415,10
48044,52056,10
49669,54070,10
51036,77378,10
54710,81589,10
56088,63281,10
57549,65353,10
57577,76172,10
57660,66776,10
58314,96390,10
62436,68612,10
62806,63878,10
63236,82579,10
63465,82833,10
63892,96390,10
66910,91688,10
68909,73764,10
72113,82093,10
73374,91789,10
74700,76389,10
74700,96390,10
76172,77329,10
76389,96390,10
79633,93205,10
79642,84627,10
81594,82394,10
87198,95401,10
93121,96271,10
93133,94848,10
94748,96710,10
96271,96326,10
387,6747,9
387,7763,9
387,46344,9
387,57433,9
387,60718,9
387,70163,9
387,92736,9
387,93205,9
451,3656,9
451,12263,9
451,18949,9
451,38808,9
451,45423,9
451,70593,9
451,77329,9
591,30012,9
591,71140,9
644,10335,9
644,28646,9
644,35223,9
644,41940,9
644,58314,9
644,60335,9
644,74700,9
644,82394,9
644,96271,9
896,1691,9
896,21425,9
896,26607,9
896,73047,9
896,92811,9
1110,20882,9
1139,45888,9
1296,16820,9
1296,68072,9
1691,26607,9
1691,60908,9
1691,73047,9
1989,89739,9
2221,88807,9
2718,20536,9
2878,15902,9
2978,80669,9
3475,16851,9
3656,45888,9
3656,57577,9
3794,24516,9
3794,44096,9
4194,41601,9
4194,78045,9
4528,22141,9
4617,5921,9
4798,34893,9
4821,25224,9
4821,90209,9
4915,51032,9
5084,92744,9
5239,45888,9
5285,18422,9
5285,68046,9
5827,50833,9
5873,90561,9
6309,61567,9
6360,94739,9
6385,88729,9
6564,41315,9
6564,52095,9
6564,53329,9
6564,68909,9
6564,82093,9
6661,67185,9
6747,7763,9
6747,26031,9
6747,46344,9
6747,57433,9
6747,60718,9
6747,65049,9
6747,92736,9
6747,93205,9
6938,26797,9
6938,92348,9
7061,31164,9
7061,42238,9
7061,65816,9
7061,88873,9
7684,14501,9
7684,48044,9
7684,60718,9
7684,70163,9
7684,79633,9
7684,92736,9
7757,62542,9
7763,15902,9
7763,60718,9
7763,92736,9
8067,82018,9
8073,45888,9
8073,63675,9
8264,35724,9
8264,87426,9
8553,82241,9
8776,52864,9
9222,31275,9
9647,47266,9
9647,92451,9
10113,63333,9
10335,36517,9
10335,79462,9
10998,36636,9
11201,63281,9
11558,50922,9
11811,82581,9
12098,16671,9
12098,31770,9
12098,34587,9
12098,42332,9
12098,57577,9
12098,79714,9
12098,94114,9
12229,23503,9
12229,64201,9
12263,45888,9
12263,57577,9
12376,51168,9
12421,65584,9
12771,82120,9
12809,86059,9
12884,15855,9
13313,54413,9
13391,19179,9
13708,37329,9
13734,14501,9
13734,48044,9
13734,70163,9
13734,79633,9
13734,92736,9
14282,33437,9
14486,35164,9
14486,45031,9
14486,68375,9
14501,48044,9
15052,78660,9
15485,19255,9
15485,24828,9
15485,35164,9
15485,38808,9
15485,45423,9
15485,63878,9
15855,35780,9
15855,40594,9
15855,82853,9
16039,81594,9
16263,17726,9
16501,37734,9
16671,18949,9
16671,19255,9
16820,23503,9
16820,68072,9
16851,42872,9
16976,31725,9
17200,39176,9
17320,70787,9
18667,51036,9
18667,77378,9
18840,34166,9
18840,62382,9
18949,24828,9
18949,42332,9
18949,45888,9
18949,62806,9
18949,63878,9
19179,63281,9
19179,92744,9
19255,38808,9
19255,42332,9
19255,45423,9
19255,70593,9
19255,72698,9
19255,79714,9
19337,38204,9
19337,78791,9
19809,22121,9
20738,70079,9
21239,87365,9
21502,23394,9
21813,34507,9
21921,54780,9
22141,31275,9
22141,56028,9
22156,74663,9
22678,23503,9
22678,87616,9
22722,31770,9
22722,41315,9
22722,52095,9
22722,53329,9
22722,68909,9
22722,85189,9
22824,26797,9
22824,92348,9
23234,64461,9
23503,29436,9
23503,56397,9
24331,38399,9
24522,75957,9
24656,35658,9
24721,29443,9
24769,50294,9
24828,45423,9
24828,70593,9
24828,72698,9
24828,79714,9
25079,92193,9
25130,40514,9
25224,51114,9
25224,58314,9
25224,73374,9
25224,82394,9
25224,85760,9
25224,96271,9
25362,94191,9
25404,82832,9
26607,73047,9
26797,34466,9
27241,46957,9
27241,54415,9
27565,61088,9
27601,36393,9
27692,70004,9
28646,50745,9
29685,56582,9
29845,33303,9
29873,56028,9
29873,84288,9
30259,81594,9
30259,82394,9
30631,51114,9
30631,75957,9
30631,81690,9
30739,38383,9
30739,50236,9
31164,42238,9
31164,88873,9
31275,56028,9
31437,63696,9
31770,57577,9
31770,82093,9
32944,66776,9
32957,45031,9
33016,93121,9
33016,96390,9
34158,47266,9
34166,62382,9
34166,69274,9
34466,92348,9
34553,97011,9
34587,57577,9
34587,82093,9
34852,97356,9
34882,44303,9
35164,94848,9
35223,51114,9
35578,48106,9
35780,41315,9
35780,52095,9
36323,75500,9
36393,57392,9
36517,74700,9
36636,40089,9
36636,75816,9
36733,39176,9
37143,40209,9
37196,90092,9
37258,94748,9
37258,96710,9
37530,38982,9
37701,73618,9
38098,73374,9
38098,85760,9
38204,61352,9
38654,55389,9
38654,87198,9
38808,45423,9
38808,45888,9
38808,70593,9
38808,72698,9
38808,79714,9
39058,66546,9
40089,71635,9
40258,40950,9
40258,44303,9
40258,69211,9
40404,44281,9
40404,80669,9
40451,49664,9
40451,84288,9
40950,61811,9
41064,63303,9
41315,53329,9
41315,68909,9
41315,73764,9
41807,61605,9
42331,44079,9
42664,87812,9
42797,86024,9
42926,90988,9
43206,56074,9
43256,97059,9
43358,55130,9
43530,57626,9
43530,91774,9
43628,67801,9
43806,52834,9
43806,63660,9
43806,96514,9
43837,54710,9
44165,78178,9
44401,51032,9
45031,58314,9
45139,45830,9
45237,69978,9
45237,96941,9
45343,52834,9
45343,74399,9
45423,45888,9
45423,63878,9
45741,67289,9
45741,79339,9
45888,70593,9
45888,76172,9
45888,77329,9
46344,60718,9
46344,65049,9
46344,92736,9
47786,52160,9
47832,62299,9
48044,51069,9
48257,75900,9
48315,97408,9
48423,93358,9
50814,60355,9
50844,87616,9
51114,60335,9
51114,91789,9
51114,96390,9
51516,52218,9
52095,53329,9
52095,68909,9
52095,73764,9
52105,83155,9
52686,59630,9
52834,62172,9
52834,74399,9
52834,96514,9
53329,68909,9
53329,73764,9
54710,95587,9
55029,56508,9
55130,82093,9
55479,60677,9
56028,87176,9
56397,64201,9
56397,66801,9
57025,88038,9
57433,60718,9
57433,65049,9
57433,79633,9
57433,92736,9
57433,93643,9
57549,68919,9
57549,87290,9
57577,77329,9
57577,94114,9
57626,91774,9
58291,96271,9
59264,70542,9
60594,83056,9
60677,71920,9
60718,65049,9
60718,93205,9
60777,92946,9
61175,63660,9
61352,78791,9
62007,72789,9
62172,63660,9
62172,79228,9
62172,96514,9
62806,72698,9
62806,79714,9
63236,68612,9
63281,92744,9
63675,85638,9
63878,70593,9
63878,72698,9
63878,79714,9
63892,73374,9
63892,74700,9
63892,85760,9
65049,70163,9
65049,78210,9
65049,92736,9
65049,93205,9
65353,68919,9
65587,90301,9
66507,90799,9
68859,81594,9
68859,82394,9
69074,75333,9
69978,89310,9
70163,79633,9
71140,82394,9
72113,85189,9
72420,86313,9
72698,94114,9
73764,82093,9
74016,81589,9
75076,97011,9
76389,96326,9
77118,90385,9
77183,93928,9
82394,90209,9
82394,96326,9
82394,96390,9
82853,85770,9
85039,94748,9
85039,96710,9
88873,97203,9
90209,96390,9
91789,96326,9
92736,93205,9
67,14853,8
67,20738,8
167,20314,8
339,82695,8
387,15902,8
387,26031,8
387,31408,8
387,51032,8
387,68445,8
387,78725,8
422,90124,8
424,18636,8
450,94748,8
451,15485,8
451,15855,8
451,16039,8
451,19255,8
451,22678,8
451,23503,8
451,24828,8
451,62806,8
451,63878,8
451,72698,8
451,79714,8
591,644,8
591,22121,8
591,33016,8
591,74700,8
591,76250,8
591,76389,8
591,90209,8
591,96271,8
591,96326,8
612,74016,8
644,4821,8
644,33016,8
644,48017,8
644,50745,8
644,57549,8
644,63892,8
